gauge_id,mean_sp_baseline,mean_sp_future,delta_mean_sp,max_sp_baseline,max_sp_future,delta_max_sp,rcp
27007,1.8885864682539681,0.29355676851851853,-1.5950296997354496,94.63005000000001,49.712599999999995,-44.91745000000002,rcp60
27009,0.8581164236111113,0.06503298148148148,-0.7930834421296298,69.72135,21.94825,-47.7731,rcp60
27021,0.4787262152777778,0.04214326851851852,-0.4365829467592593,61.17105,20.88395,-40.2871,rcp60
27023,0.589201121031746,0.06831854629629629,-0.5208825747354497,61.00425,27.189500000000002,-33.81475,rcp60
27025,0.07139277281746031,0.0007008842592592592,-0.07069188855820105,17.779600000000002,1.8612,-15.918400000000002,rcp60
27026,0.4627391666666667,0.047219365740740746,-0.41551980092592594,60.9285,21.85355,-39.07495,rcp60
27029,0.7620775892857141,0.07125380555555556,-0.6908237837301585,72.26205,24.0541,-48.207950000000004,rcp60
27030,0.04003008928571428,0.0006366111111111112,-0.039393478174603175,16.57685,1.8718,-14.70505,rcp60
27032,0.29492844742063495,0.013710194444444445,-0.2812182529761905,70.33155,18.8878,-51.443749999999994,rcp60
27034,1.7620004761904764,0.30811560648148145,-1.453884869708995,99.13175,53.06545,-46.0663,rcp60
27035,0.5861249900793651,0.07622805555555555,-0.5098969345238096,63.0878,23.63955,-39.44825,rcp60
27038,1.152294717261905,0.12087912037037038,-1.0314155968915346,85.001,28.12085,-56.88015,rcp60
27041,0.570856681547619,0.0382060462962963,-0.5326506352513227,62.643299999999996,18.3354,-44.3079,rcp60
27042,1.9041534275793652,0.1664390925925926,-1.7377143349867725,130.5882,40.3173,-90.2709,rcp60
27043,1.300737380952381,0.17251781944444444,-1.1282195615079367,94.4452,48.6923,-45.7529,rcp60
27047,2.8582257192460316,0.5610488379629629,-2.2971768812830686,111.91935000000001,78.06944999999999,-33.84990000000002,rcp60
27049,1.3308749255952381,0.11697269444444444,-1.2139022311507937,110.34375,31.3553,-78.98845,rcp60
27051,0.9684658581349206,0.15831282870370372,-0.8101530294312169,84.92275000000001,37.997,-46.92575000000001,rcp60
27062,0.6179108432539682,0.029657865740740738,-0.5882529775132275,59.48935,18.7634,-40.72595,rcp60
27064,0.2294317261904762,0.00845863888888889,-0.2209730873015873,34.721000000000004,8.895299999999999,-25.825700000000005,rcp60
27065,0.7992071081349207,0.08395241666666667,-0.715254691468254,83.51795000000001,30.94435,-52.57360000000001,rcp60
27071,0.6931419742063492,0.06250081944444444,-0.6306411547619047,70.78835000000001,25.171,-45.61735000000001,rcp60
27073,1.4959354017857143,0.18043288425925927,-1.315502517526455,91.53485,36.59015,-54.944700000000005,rcp60
27077,0.057315044642857145,0.001439412037037037,-0.05587563260582011,24.35985,4.0622,-20.29765,rcp60
27079,0.3918637797619048,0.02354893518518518,-0.3683148445767196,50.9481,13.911850000000001,-37.036249999999995,rcp60
27080,0.6513442410714285,0.06802603703703702,-0.5833182040343915,61.856300000000005,24.662750000000003,-37.19355,rcp60
27084,0.7773350694444444,0.09612659722222222,-0.6812084722222222,73.41295,28.07115,-45.34179999999999,rcp60
27087,0.07449481646825395,0.0020114814814814813,-0.07248333498677248,25.4737,7.58105,-17.89265,rcp60
